fund_code,fund_name,custodian_fee_rate,management_fee_rate,sales_service_fee_rate,fund_code_master,is_hongli,is_alipay
000505.OF,国寿安保货币A,0.05,0.33,0.25,505,N,Y
000687.OF,南方薪金宝货币A,0.05,0.25,0.25,687,N,Y
511850.SH,招商财富宝ETF,0.09,0.30,0.01,2852,N,Y
000366.OF,汇添富添富通货币A,0.05,0.27,0.25,366,N,Y
000509.OF,广发钱袋子A,0.05,0.30,0.22,509,N,Y
000330.OF,汇添富现金宝货币,0.05,0.33,0.25,330,N,Y
000343.OF,华夏财富宝货币A,0.05,0.27,0.25,343,N,Y
000359.OF,易方达易理财货币A,0.05,0.25,0.25,359,N,Y
000371.OF,富国安益货币A,0.06,0.28,0.23,371,N,Y
000389.OF,广发天天红货币A,0.05,0.30,0.25,389,N,Y
000397.OF,汇添富全额宝货币,0.05,0.33,0.22,397,N,Y
000464.OF,嘉实活期宝货币,0.06,0.27,0.25,464,N,Y
000475.OF,广发天天利货币A,0.04,0.25,0.25,475,N,Y
000483.OF,鑫元货币A,0.05,0.33,0.25,483,N,N
000528.OF,工银货币,0.05,0.33,0.25,528,N,Y
000540.OF,国金金腾通货币A,0.05,0.25,0.22,540,N,Y
000559.OF,万家现金宝A,0.05,0.25,0.25,559,N,Y
000576.OF,中邮货币A,0.05,0.30,0.22,576,N,N
511660.SH,建信现金添益H,0.07,0.25,0.01,1056,N,Y
511880.SH,银华日利A,0.08,0.30,0.01,1880,N,Y
511990.SH,华宝添益A,0.07,0.30,0.01,1990,N,Y
002758.OF,建信现金增利货币,0.06,0.25,0.25,2758,N,Y
003034.OF,平安交易型货币A,0.05,0.25,0.22,3034,N,Y
003171.OF,鹏华弘康混合C,0.10,0.25,0.20,3171,Y,N
002987.OF,广发中证红利ETF联接C,0.10,0.50,0.40,2987,Y,N
