date,avg_seven_day_yield,avg_nav_return_per_10k,avg_deviation_bps,median_seven_day_yield
2025-10-01,2.05,0.5602,4.8,2.03
2025-10-02,2.06,0.5634,4.6,2.04
2025-10-03,2.07,0.5668,4.4,2.05
2025-10-04,2.08,0.5701,4.3,2.07
2025-10-05,2.09,0.5734,4.1,2.08
2025-10-06,2.10,0.5768,4.0,2.09
2025-10-07,2.11,0.5802,3.8,2.10
2025-10-08,2.12,0.5835,3.7,2.11
2025-10-09,2.11,0.5801,3.8,2.10
2025-10-10,2.13,0.5868,3.5,2.12
2025-10-11,2.14,0.5902,3.4,2.13
2025-10-12,2.15,0.5935,3.2,2.14
2025-10-13,2.14,0.5901,3.3,2.13
2025-10-14,2.12,0.5868,3.5,2.11
2025-10-15,2.10,0.5802,3.7,2.09
2025-10-16,2.08,0.5735,3.9,2.07
2025-10-17,2.06,0.5668,4.1,2.05
2025-10-18,2.05,0.5601,4.3,2.04
2025-10-19,2.04,0.5535,4.5,2.03
2025-10-20,2.08,0.5702,4.0,2.07
2025-10-21,2.10,0.5768,3.8,2.09
2025-10-22,2.12,0.5835,3.6,2.11
2025-10-23,2.14,0.5902,3.4,2.13
2025-10-24,2.16,0.5968,3.2,2.15
2025-10-25,2.18,0.6035,3.0,2.17
2025-10-26,2.16,0.5968,3.2,2.15
2025-10-27,2.14,0.5902,3.4,2.13
2025-10-28,2.12,0.5835,3.6,2.11
2025-10-29,2.10,0.5768,3.8,2.09
2025-10-30,2.08,0.5801,4.5,2.05
2025-10-31,2.06,0.5735,4.3,2.04
