date,fund_code,fund_name,seven_day_yield,nav_return_per_10k,aum,leverage_ratio,deviation_bps
2025-10-01,001895,宏利活期友货币B,2.12,0.5801,12500000000,1.10,6.5
2025-10-02,001895,宏利活期友货币B,2.15,0.5892,12520000000,1.09,6.2
2025-10-03,001895,宏利活期友货币B,2.18,0.5923,12550000000,1.08,5.8
2025-10-04,001895,宏利活期友货币B,2.20,0.6012,12580000000,1.08,5.5
2025-10-05,001895,宏利活期友货币B,2.19,0.5987,12600000000,1.07,5.3
2025-10-06,001895,宏利活期友货币B,2.22,0.6054,12630000000,1.07,5.0
2025-10-07,001895,宏利活期友货币B,2.25,0.6123,12650000000,1.06,4.8
2025-10-08,001895,宏利活期友货币B,2.28,0.6188,12680000000,1.06,4.5
2025-10-09,001895,宏利活期友货币B,2.26,0.6145,12700000000,1.08,4.3
2025-10-10,001895,宏利活期友货币B,2.30,0.6234,12720000000,1.08,4.0
2025-10-11,001895,宏利活期友货币B,2.32,0.6289,12680000000,1.09,4.2
2025-10-12,001895,宏利活期友货币B,2.35,0.6356,12650000000,1.10,4.5
2025-10-13,001895,宏利活期友货币B,2.33,0.6312,12620000000,1.10,4.8
2025-10-14,001895,宏利活期友货币B,2.31,0.6278,12580000000,1.11,5.0
2025-10-15,001895,宏利活期友货币B,2.28,0.6223,12550000000,1.12,5.2
2025-10-16,001895,宏利活期友货币B,2.25,0.6167,12520000000,1.12,5.5
2025-10-17,001895,宏利活期友货币B,2.22,0.6101,12500000000,1.11,5.8
2025-10-18,001895,宏利活期友货币B,2.20,0.6045,12480000000,1.10,6.0
2025-10-19,001895,宏利活期友货币B,2.18,0.5988,12480000000,1.09,6.2
2025-10-20,001895,宏利活期友货币B,2.15,0.5912,12500000000,1.08,6.5
2025-10-21,001895,宏利活期友货币B,2.18,0.5978,12530000000,1.07,6.3
2025-10-22,001895,宏利活期友货币B,2.21,0.6045,12560000000,1.07,6.0
2025-10-23,001895,宏利活期友货币B,2.24,0.6123,12590000000,1.06,5.7
2025-10-24,001895,宏利活期友货币B,2.27,0.6198,12620000000,1.06,5.4
2025-10-25,001895,宏利活期友货币B,2.30,0.6276,12650000000,1.05,5.1
2025-10-26,001895,宏利活期友货币B,2.28,0.6234,12620000000,1.06,5.3
2025-10-27,001895,宏利活期友货币B,2.25,0.6189,12580000000,1.07,5.5
2025-10-28,001895,宏利活期友货币B,2.22,0.6123,12540000000,1.08,5.8
2025-10-29,001895,宏利活期友货币B,2.19,0.6056,12500000000,1.09,6.1
2025-10-30,001895,宏利活期友货币B,2.35,0.6432,12580000000,1.08,5.2
2025-10-31,001895,宏利活期友货币B,2.32,0.6389,12560000000,1.07,5.4
